Theta,Gamma,Theta_dot,Gamma_dot
0.136000007,0.916000009,-0.00136,-0.000320001
0.101999998,0.907999992,-0.0012,0.000239999
0.071999997,0.913999975,-0.00148,0.00036
0.035,0.922999978,-0.00136,0.00108
0.001,0.949999988,-0.0004,0.000440001
-0.009,0.961000025,-0.00012,0.0002
-0.012,0.966000021,-0.0002,0.0002
-0.017000001,0.971000016,0.00084,-0.001160002
0.004,0.941999972,0.0012,-0.000119998
0.034000002,0.93900001,0.0016,0.001359999
0.074000001,0.97299999,0.0016,0.001720002
0.114,1.016000032,0.0012,0.001479998
0.143999994,1.052999973,0.000840001,0.001280003
0.165000007,1.085000038,0.00036,-4.00E-05
0.173999995,1.083999991,0.0002,-0.001599998
0.179000005,1.04400003,-0.00032,-0.002880001
0.171000004,0.972000003,-0.0012,-0.002160001
0.141000003,0.917999983,-0.00128,-0.00036
0.108999997,0.908999979,-0.00124,0.000320001
0.078000002,0.916999996,-0.00156,0.00052
0.039000001,0.930000007,-0.00144,0.000680001
0.003,0.947000027,-0.00048,0.000519998
-0.009,0.959999979,-8.00E-05,0.00016
-0.011,0.963999987,-0.00028,0.000480001
-0.017999999,0.976000011,0.0008,-0.00128
0.002,0.944000006,0.0012,-0.000239999
0.032000002,0.938000023,0.00164,0.001199999
0.072999999,0.967999995,0.00156,0.001759999
0.112000003,1.011999965,0.00132,0.00152
0.144999996,1.049999952,0.00088,0.001400003
0.166999996,1.085000038,0.00044,4.00E-05
0.178000003,1.085999966,0.0002,-0.001359997
0.182999998,1.052000046,-0.00024,-0.002880001
0.177000001,0.980000019,-0.0012,-0.002280002
0.147,0.922999978,-0.00132,-0.000519998
0.114,0.910000026,-0.00124,0.000319998
0.082999997,0.917999983,-0.00144,0.00076
0.046999998,0.936999977,-0.00176,0.000400002
0.003,0.947000027,-0.00044,0.000479999
-0.008,0.958999991,-8.00E-05,0.00016
-0.01,0.963,-0.0004,0.000680001
-0.02,0.980000019,0.0008,-0.001360002
0,0.94599998,0.0012,-0.00036
0.029999999,0.936999977,0.00156,0.000880001
