Theta,Gamma,Current0,Current1,Seq,sp_theta,sp_gamma
-0.052000001,0.963,0.592000008,1.585000038,6.545978515,0,1.023971319
-0.057999998,0.973999977,1.661999941,0.829999983,6.58541212,0,1.122233629
-0.052999999,0.964999974,3.671000004,-0.847000003,6.624845726,0,1.242800355
-0.024,0.938000023,3.891000032,-3.640000105,6.664279331,0,1.378363848
0.016000001,0.944999993,4.787000179,-6.221000195,6.703712937,0,1.625388861
0.061999999,0.961000025,5.856999874,-10.03600025,6.743146542,0,1.885626078
0.104999997,1.011000037,7.897999763,-13.59000015,6.782580148,0,2.035308123
0.137999997,1.057000041,8.623000145,-15.49800015,6.822013753,0,1.968481779
0.158000007,1.090999961,6.573999882,-14.83100033,6.861447359,0,1.738237858
0.164000005,1.088000059,4.138999939,-12.36100006,6.900880964,0,1.462334752
0.167999998,1.036999941,1.717000008,-9.642999649,6.94031457,0,1.297180653
0.157000005,0.958000004,1.633999944,-8.303999901,6.979748175,0,1.169495106
0.123999998,0.894999981,1.33099997,-6.518000126,7.019181781,0,1.061427593
0.081,0.862999976,0.319000006,-4.045000076,7.058615386,0,0.97897172
0.039000001,0.876999974,-0.289000005,-1.590000033,7.098048992,0,0.929993391
-0.001,0.910000026,-0.165999994,0.170000002,7.137482597,0,0.919573724
-0.034000002,0.941999972,0.270000011,1.330000043,7.176916203,0,0.949097633
-0.050000001,0.962000012,0.676999986,1.463000059,7.216349808,0,1.015235186
-0.057,0.975000024,1.845999956,0.986000001,7.255783414,0,1.110818505
-0.052999999,0.966000021,3.328999996,-0.734000027,7.295217019,0,1.229412794
-0.025,0.936999977,4.356999874,-3.565000057,7.334650625,0,1.363627195
0.104000002,1.006000042,7.43599987,-13.50399971,7.37408423,0,2.028941631
0.140000001,1.050999999,8.800000191,-15.69400024,7.413517836,0,1.985367775
0.158999994,1.087000012,6.614999771,-15.38899994,7.452951441,0,1.764949679
0.165999994,1.083999991,4.471000195,-13.06200027,7.492385047,0,1.490850568
0.170000002,1.039999962,1.468999982,-10.17399979,7.531818652,0,1.310769081
0.159999996,0.964999974,1.177999973,-8.402999878,7.571252258,0,1.18200922
0.128999993,0.898999989,-0.136999995,-6.752999783,7.610685863,0,1.071230292
0.085000001,0.86500001,0.547999978,-4.274000168,7.650119469,0,0.986124337
0.044,0.874000013,-0.136000007,-2.036999941,7.689553074,0,0.93323648
0.002,0.906000018,0.151999995,-0.009,7.72898668,0,0.918766201
-0.032000002,0.939999998,0.155000001,1.286999941,7.768420285,0,0.944403172
-0.046,0.958000004,0.583000004,1.651000023,7.807853891,0,1.006824255
-0.054000001,0.975000024,2.417000055,0.912,7.847287496,0,1.100090265
-0.050999999,0.964999974,2.663000107,-0.601999998,7.886721102,0,1.216200352
-0.026000001,0.936999977,3.923000097,-3.357000113,7.926154707,0,1.349587321
0.015,0.943000019,4.342000008,-5.797999859,7.965588313,0,1.56741643
0.059999999,0.958000004,6.072999954,-9.114999771,8.005021918,0,1.837043166
0.104000002,1.003000021,7.519999981,-13.00500011,8.044455524,0,2.020088434
0.141000003,1.049000025,8.015999794,-15.48200035,8.083889129,0,1.999697566
0.163000003,1.088000059,6.951000214,-15.28899956,8.123322735,0,1.792260885
0.172999993,1.090999961,4.269999981,-13.39500046,8.162756341,0,1.518412948
0.177000001,1.049999952,1.940000057,-10.49800015,8.202189946,0,1.325057626
0.166999996,0.970000029,0.89200002,-8.883000374,8.241623552,0,1.194211364
0.134000003,0.898999989,1.157999992,-6.894999981,8.281057157,0,1.081710577
0.092,0.860000014,0.291000009,-4.864999771,8.320490763,0,0.993325055
0.054000001,0.871999979,-0.270000011,-2.473999977,8.359924368,0,0.937026918
0.01,0.902999997,0.310000002,-0.192000002,8.399357974,0,0.918400168
-0.026000001,0.939999998,-0.082000002,1.220999956,8.438791579,0,0.939910829
-0.041999999,0.957000017,0.476000011,1.389000058,8.478225185,0,0.998746097
-0.052999999,0.973999977,1.616000056,1.029999971,8.51765879,0,1.089162588
-0.050999999,0.967999995,2.342999935,-0.469999999,8.557092396,0,1.203169703
-0.027000001,0.939999998,3.279000044,-3.147000074,8.596526001,0,1.335080385
0.014,0.940999985,4.823999882,-5.553999901,8.635959607,0,1.538485169
0.059,0.953999996,5.880000114,-9.029999733,8.675393212,0,1.810897946
0.104000002,0.998000026,6.698999882,-13.01299953,8.714826818,0,2.008854151
0.142000005,1.04400003,8.194999695,-15.43799973,8.754260423,0,2.012513876
0.165999994,1.087000012,7.169000149,-15.62300015,8.793694029,0,1.818929672
0.174999997,1.092000008,4.681000233,-13.67099953,8.833127634,0,1.547270656
0.180999994,1.057000041,2.227999926,-11.09700012,8.87256124,0,1.339477301
0.173999995,0.984000027,0.843999982,-9.050000191,8.911994845,0,1.207111239
0.140000001,0.907999992,0.996999979,-7.295000076,8.951428451,0,1.092457414
0.094999999,0.86500001,0.524999976,-5.104000092,8.990862056,0,1.001166105
0.059,0.874000013,-0.280999988,-2.305999994,9.030295662,0,0.941233337
0.014,0.904999971,0.199000001,-0.430000007,9.069729267,0,0.918464601
-0.022,0.93599999,-0.002,1.167999983,9.109162873,0,0.935830414
-0.044,0.957000017,0.279000014,1.445000052,9.148596478,0,0.991312623
-0.052999999,0.973999977,1.302999973,1.177999973,9.188030084,0,1.078495979
-0.052999999,0.967999995,2.815000057,-0.270000011,9.227463689,0,1.190837741
-0.028999999,0.941999972,4.065999985,-2.993000031,9.266897295,0,1.320699811
0.011,0.938000023,4.43599987,-5.335999966,9.3063309,0,1.510817528
0.057999998,0.949999988,5.815000057,-8.593999863,9.345764506,0,1.784020662
0.103,0.992999971,6.380000114,-12.85200024,9.385198111,0,1.995948792
